iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,31,33,0.0835525393486023,0.009659390896558762,0.09828220307826996,20.15050250024879,0.4651794135570526,0.5348205864429474,0.6749128103256226,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.06767277419567108,0.16110233664512635
2,25,39,0.06767277419567108,0.007846672087907791,0.08858144283294678,21.05314554644101,0.5817584991455078,0.4182415008544922,0.52748703956604,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.058202434331178665,0.13021024763584138
3,21,43,0.058202434331178665,0.006800539325922728,0.08246538043022156,21.674566829848384,0.6524224877357483,0.3475775122642517,0.4353474974632263,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.052324578166007996,0.11137516498565675
4,17,47,0.052324578166007996,0.006135052070021629,0.07832657545804977,22.121817558722334,0.6964764595031738,0.30352354049682617,0.3738023638725281,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.048213645815849304,0.09927562475204468
5,15,49,0.048213645815849304,0.005537239369004965,0.07441262900829315,22.567067392120613,0.7282231450080872,0.27177685499191284,0.3267722427845001,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.04484855756163597,0.09023421704769136
6,14,50,0.04484855756163597,0.005030921194702387,0.07092898339033127,22.983524452320555,0.758314311504364,0.241685688495636,0.2901877760887146,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.04156448319554329,0.08158872425556184
7,12,52,0.04156448319554329,0.004575775004923344,0.06764447689056396,23.39535369480155,0.7798507809638977,0.2201492190361023,0.2623612880706787,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.03872134909033775,0.07500692307949067
8,11,53,0.03872134909033775,0.004097621887922287,0.06401266902685165,23.874680741594535,0.7984970211982727,0.2015029788017273,0.23512041568756104,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.036016155034303665,0.0691135197877884
9,11,53,0.036016155034303665,0.0038193308282643557,0.06180073320865631,24.180126952935744,0.8124844431877136,0.18751555681228638,0.2167196422815323,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.03410952910780907,0.06479073464870454
10,11,53,0.03410952910780907,0.0032854180317372084,0.057318564504384995,24.83409377648912,0.8306772112846375,0.16932278871536255,0.19136904180049896,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.03099088929593563,0.05865726917982102
11,10,54,0.03099088929593563,0.0029925741255283356,0.05470442399382591,25.239550855572155,0.8414750099182129,0.1585249900817871,0.1789952516555786,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.029096931219100952,0.054982542991638184
12,10,54,0.029096931219100952,0.0027248149272054434,0.05219975858926773,25.646629922003555,0.8568370938301086,0.14316290616989136,0.16031858325004578,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.026984699070453644,0.050220340490341187
13,9,55,0.026984699070453644,0.002538172295317054,0.05038027837872505,25.954789114236263,0.8640320301055908,0.13596796989440918,0.15238091349601746,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.025746146216988564,0.04779051095247269
14,9,55,0.025746146216988564,0.002365922788158059,0.04864075407385826,26.25999451119664,0.8739991188049316,0.12600088119506836,0.14218318462371826,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.024299204349517822,0.044639539718627934
