iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,31,33,0.07628041505813599,0.007860641926527023,0.08866026252508163,21.045419405503132,0.5136422514915466,0.48635774850845337,0.528164803981781,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.062593974173069,0.1473467290401459
2,30,34,0.062593974173069,0.006418249104171991,0.0801139771938324,21.925834375278693,0.6099608540534973,0.3900391459465027,0.4020237922668457,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.05420953035354614,0.12137545347213746
3,26,38,0.05420953035354614,0.005354444961994886,0.07317407429218292,22.712855310093587,0.675173282623291,0.324826717376709,0.31768372654914856,320,1.40625,17.066666666666666,0.010986328125,1572864,92160,fp32,288,0.04809439554810524,0.103440859913826
4,26,38,0.04809439554810524,0.004191633779555559,0.06474282592535019,23.77616695706304,0.7477426528930664,0.2522573471069336,0.24124012887477875,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.03983008489012718,0.08231553733348847
5,29,35,0.03983008489012718,0.00352781661786139,0.05939542502164841,24.52493989855131,0.7890246510505676,0.21097534894943237,0.19943560659885406,448,1.96875,12.19047619047619,0.015380859375,1572864,129024,fp32,288,0.035115525126457214,0.07028748989105225
6,29,35,0.035115525126457214,0.002854009857401252,0.05342293530702591,25.445445985830055,0.828864574432373,0.17113542556762695,0.1608961522579193,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.030126696452498436,0.058328442275524146
7,27,37,0.030126696452498436,0.002354306634515524,0.04852119833230972,26.28136976429132,0.8567540645599365,0.14324593544006348,0.13469970226287842,576,2.53125,9.481481481481481,0.019775390625,1572864,165888,fp32,288,0.026221470907330513,0.04962636381387711
8,27,37,0.026221470907330513,0.001924811745993793,0.04387267678976059,27.156117590895423,0.8835722804069519,0.1164277195930481,0.11133870482444763,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.02248893864452839,0.04127669483423233
9,27,37,0.02248893864452839,0.0016576234484091401,0.040713921189308167,27.805141274506802,0.9006882309913635,0.09931176900863647,0.09468895196914673,704,3.09375,7.757575757575758,0.024169921875,1572864,202752,fp32,288,0.02004762925207615,0.03590045720338822
10,28,36,0.02004762925207615,0.001328986487351358,0.036455266177654266,28.76479413722815,0.9190528988838196,0.08094710111618042,0.08003868162631989,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.016718965023756027,0.02956459224224091
11,25,39,0.016718965023756027,0.001126765157096088,0.03356732428073883,29.48166599883065,0.9313769340515137,0.06862306594848633,0.06890864670276642,832,3.65625,6.564102564102564,0.028564453125,1572864,239616,fp32,288,0.014688125811517239,0.02547511383891106
12,25,39,0.014688125811517239,0.0009949408704414964,0.03154268488287926,30.022026848978808,0.938940703868866,0.06105929613113403,0.0605313777923584,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.0133340023458004,0.022879061102867127
13,24,40,0.0133340023458004,0.000858068058732897,0.029292799532413483,30.66478258930676,0.9462335705757141,0.05376642942428589,0.05424272641539574,960,4.21875,5.688888888888889,0.032958984375,1572864,276480,fp32,288,0.01188890915364027,0.020264413207769394
14,21,43,0.01188890915364027,0.0007485605892725289,0.02735983580350876,31.257729721742194,0.9525696635246277,0.047430336475372314,0.04794858768582344,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.010703624226152897,0.018048966675996782
