iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,62,66,0.0801728293299675,0.010009374469518661,0.10004685819149017,19.99593067681664,0.5263374447822571,0.4736625552177429,0.5433408617973328,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.0657384917140007,0.14732330441474917
2,57,71,0.0657384917140007,0.00813215970993042,0.0901784896850586,20.89794091086346,0.6264891028404236,0.3735108971595764,0.384960800409317,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.05649805814027786,0.11990062594413758
3,51,77,0.05649805814027786,0.006756432820111513,0.08219752460718155,21.702825844841158,0.6920208930969238,0.30797910690307617,0.307699978351593,640,0.46875,51.2,0.02197265625,9437184,184320,fp32,288,0.0494096614420414,0.10112355053424835
4,42,86,0.0494096614420414,0.005894049536436796,0.07677271217107773,22.2958623681355,0.7293148636817932,0.2706851363182068,0.2662030756473541,768,0.5625,42.666666666666664,0.0263671875,9437184,221184,fp32,288,0.045033860951662064,0.09016411602497101
5,37,91,0.045033860951662064,0.005288216285407543,0.07272012531757355,22.766908099174735,0.7536199688911438,0.2463800311088562,0.2414829134941101,896,0.65625,36.57142857142857,0.03076171875,9437184,258048,fp32,288,0.04172922670841217,0.08265938758850098
6,34,94,0.04172922670841217,0.004822001792490482,0.06944063305854797,23.167725361810657,0.774096667766571,0.22590333223342896,0.21961385011672974,1024,0.75,32.0,0.03515625,9437184,294912,fp32,288,0.03895074129104614,0.07634125947952271
7,30,98,0.03895074129104614,0.004441895987838507,0.06664755195379257,23.524316730259322,0.7916216254234314,0.2083783745765686,0.19996947050094604,1152,0.84375,28.444444444444443,0.03955078125,9437184,331776,fp32,288,0.036588769406080246,0.07094669044017793
8,25,103,0.036588769406080246,0.004124960396438837,0.06422585248947144,23.84580280500035,0.8072991371154785,0.19270086288452148,0.18531128764152527,1280,0.9375,25.6,0.0439453125,9437184,368640,fp32,288,0.0341092124581337,0.06582754254341126
9,23,105,0.0341092124581337,0.0037781931459903717,0.0614670068025589,24.227156974737227,0.8193351626396179,0.18066483736038208,0.17322151362895966,1408,1.03125,23.272727272727273,0.04833984375,9437184,405504,fp32,288,0.03226567059755325,0.06194550395011902
10,20,108,0.03226567059755325,0.00347297010011971,0.05893190950155258,24.592989310647386,0.8335699439048767,0.1664300560951233,0.16268080472946167,1536,1.125,21.333333333333332,0.052734375,9437184,442368,fp32,288,0.029958628118038177,0.0572529137134552
11,19,109,0.029958628118038177,0.0031700385734438896,0.05630309507250786,24.989353971826823,0.8476456999778748,0.15235430002212524,0.15415309369564056,1664,1.21875,19.692307692307693,0.05712890625,9437184,479232,fp32,288,0.027668073773384094,0.05260531902313233
12,17,111,0.027668073773384094,0.002947646426036954,0.054292231798172,25.305247399164863,0.8590062260627747,0.14099377393722534,0.14220094680786133,1792,1.3125,18.285714285714285,0.0615234375,9437184,516096,fp32,288,0.02587231621146202,0.04889660775661469
13,14,114,0.02587231621146202,0.0025918306782841682,0.05091002583503723,25.86393220985286,0.8740153312683105,0.12598466873168945,0.12870661914348602,1920,1.40625,17.066666666666666,0.06591796875,9437184,552960,fp32,288,0.02329077199101448,0.04382955133914948
14,13,115,0.02329077199101448,0.002410667948424816,0.049098554998636246,26.178624957810367,0.8839624524116516,0.11603754758834839,0.11854316294193268,2048,1.5,16.0,0.0703125,9437184,589824,fp32,288,0.021739179268479347,0.04059885293245316
