iteration,n_pos,n_neg,mean_residual,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,69,59,0.06875725090503693,0.0075476220808923244,0.08687704801559448,21.221898262933728,0.5721186399459839,0.4278813600540161,0.5170915126800537,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.052942026406526566,0.1279298931360245
2,56,72,0.052942026406526566,0.005886530037969351,0.07672372460365295,22.30140610203659,0.6733329892158508,0.32666701078414917,0.3724569082260132,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.04429423809051514,0.10076879262924196
3,45,83,0.04429423809051514,0.004920334089547396,0.07014509290456772,23.08005473105522,0.7369670867919922,0.2630329132080078,0.2853958010673523,640,0.46875,51.2,0.02197265625,9437184,184320,fp32,288,0.0385756678879261,0.08346711695194245
4,36,92,0.0385756678879261,0.004271542653441429,0.0653570368885994,23.694153041430393,0.7703569531440735,0.2296430468559265,0.24467729032039642,768,0.5625,42.666666666666664,0.0263671875,9437184,221184,fp32,288,0.03495801240205765,0.07389501929283143
5,31,97,0.03495801240205765,0.0037336742971092463,0.06110379844903946,24.278636867720913,0.7964212894439697,0.20357871055603027,0.21395115554332733,896,0.65625,36.57142857142857,0.03076171875,9437184,258048,fp32,288,0.0318189337849617,0.06617088913917542
6,29,99,0.0318189337849617,0.0032358532771468163,0.056884560734033585,24.900112939666915,0.8227422833442688,0.1772577166557312,0.18351954221725464,1024,0.75,32.0,0.03515625,9437184,294912,fp32,288,0.028590768575668335,0.058324158191680915
7,19,109,0.028590768575668335,0.0028483059722930193,0.05336952209472656,25.454132833422722,0.8356504440307617,0.16434955596923828,0.17076018452644348,1152,0.84375,28.444444444444443,0.03955078125,9437184,331776,fp32,288,0.026605602353811264,0.054154393076896665
8,17,111,0.026605602353811264,0.0025661743711680174,0.050657421350479126,25.90713893469156,0.8471006751060486,0.15289932489395142,0.16095760464668274,1280,0.9375,25.6,0.0439453125,9437184,368640,fp32,288,0.02489115297794342,0.05049278736114502
9,15,113,0.02489115297794342,0.00229908456094563,0.047948770225048065,26.384450699992573,0.8583314418792725,0.14166855812072754,0.15048784017562866,1408,1.03125,23.272727272727273,0.04833984375,9437184,405504,fp32,288,0.023139694705605507,0.04684546738862992
10,15,113,0.023139694705605507,0.0019305302994325757,0.043937798589468,27.14323473027724,0.875266969203949,0.12473303079605103,0.13507381081581116,1536,1.125,21.333333333333332,0.052734375,9437184,442368,fp32,288,0.0204428993165493,0.04130092561244965
11,15,113,0.0204428993165493,0.0018171736737713218,0.042628321796655655,27.40603598861515,0.8807461857795715,0.11925381422042847,0.12929217517375946,1664,1.21875,19.692307692307693,0.05712890625,9437184,479232,fp32,288,0.019614923745393753,0.03954270184040069
12,14,114,0.019614923745393753,0.001647660043090582,0.04059137776494026,27.831323057063145,0.8882730603218079,0.11172693967819214,0.12118799984455109,1792,1.3125,18.285714285714285,0.0615234375,9437184,516096,fp32,288,0.018362144008278847,0.03703510314226151
13,13,115,0.018362144008278847,0.0015264034736901522,0.03906921297311783,28.163305963432606,0.8934588432312012,0.10654115676879883,0.11561369895935059,1920,1.40625,17.066666666666666,0.06591796875,9437184,552960,fp32,288,0.01748664118349552,0.035297544300556184
14,10,118,0.01748664118349552,0.0013334671966731548,0.036516670137643814,28.750175902470016,0.9043558239936829,0.09564417600631714,0.10398587584495544,2048,1.5,16.0,0.0703125,9437184,589824,fp32,288,0.015799274668097496,0.031768254935741425
