iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,15,17,0.0869005024433136,9.34812757703993,0.012192664667963982,0.11042039841413498,19.13901475718548,0.6921529769897461,0.3078470230102539,0.5838314294815063,96,0.0703125,341.3333333333333,0.0032958984375,9437184,27648,fp32,288,0.07568483054637909,0.12211726903915407
2,16,16,0.07568483054637909,10.185496012369791,0.010564155876636505,0.10278207808732986,19.761652655402695,0.6964958310127258,0.30350416898727417,0.5717115998268127,128,0.09375,256.0,0.00439453125,9437184,36864,fp32,288,0.06979114562273026,0.11653375029563903
3,16,16,0.06979114562273026,10.458543565538195,0.010082315653562546,0.10041073709726334,19.96439836988097,0.6952337622642517,0.3047662377357483,0.5605703592300415,160,0.1171875,204.8,0.0054931640625,9437184,46080,fp32,288,0.06795677542686462,0.11531866788864137
4,16,16,0.06795677542686462,7.695261637369792,0.009234655648469925,0.09609711915254593,20.345792578475464,0.6974685788154602,0.3025314211845398,0.5594984889030457,192,0.140625,170.66666666666666,0.006591796875,9437184,55296,fp32,288,0.06555524468421936,0.11295047998428345
5,16,16,0.06555524468421936,7.124074300130208,0.008774220012128353,0.0936708077788353,20.567914554218987,0.6972415447235107,0.30275845527648926,0.5558090209960938,224,0.1640625,146.28571428571428,0.0076904296875,9437184,64512,fp32,288,0.06378661096096039,0.11158097982406617
6,17,15,0.06378661096096039,8.289676242404514,0.008617865853011608,0.09283246099948883,20.64600236977715,0.7000730633735657,0.2999269366264343,0.5544256567955017,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.06266002357006073,0.11011340618133546
7,15,17,0.06266002357006073,6.419542100694445,0.008396162651479244,0.09163057804107666,20.759190330716347,0.6998488306999207,0.30015116930007935,0.5503342747688293,288,0.2109375,113.77777777777777,0.0098876953125,9437184,82944,fp32,288,0.061887163668870926,0.10953996479511262
8,15,17,0.061887163668870926,7.665337456597222,0.00849776342511177,0.09218331426382065,20.70695311238975,0.7004173398017883,0.29958266019821167,0.549371063709259,320,0.234375,102.4,0.010986328125,9437184,92160,fp32,288,0.0616159625351429,0.10920930206775667
9,16,16,0.0616159625351429,7.828776041666667,0.008296946994960308,0.09108757972717285,20.81081811215567,0.7000157237052917,0.29998427629470825,0.5492273569107056,352,0.2578125,93.0909090909091,0.0120849609375,9437184,101376,fp32,288,0.06099078431725502,0.10878948271274567
10,17,15,0.06099078431725502,7.290988498263889,0.00830347090959549,0.09112337976694107,20.807403883689467,0.6996528506278992,0.30034714937210083,0.5509788990020752,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.06179137900471687,0.10950253307819367
11,17,15,0.06179137900471687,7.197316487630208,0.008327835239470005,0.09125697612762451,20.794678938599844,0.7001006007194519,0.2998993992805481,0.5475567579269409,416,0.3046875,78.76923076923077,0.0142822265625,9437184,119808,fp32,288,0.06066936254501343,0.10851536989212036
12,15,17,0.06066936254501343,6.141238742404514,0.008164993487298489,0.09036035090684891,20.880440430841112,0.7001516222953796,0.29984837770462036,0.5479046702384949,448,0.328125,73.14285714285714,0.015380859375,9437184,129024,fp32,288,0.06084185838699341,0.10864316225051882
13,16,16,0.06084185838699341,6.41572740342882,0.008395438082516193,0.0916266217827797,20.759567191792737,0.7007215023040771,0.29927849769592285,0.5468716621398926,480,0.3515625,68.26666666666667,0.0164794921875,9437184,138240,fp32,288,0.06085561215877533,0.10854018926620485
14,15,17,0.06085561215877533,8.232540554470486,0.008519886992871761,0.09230323135852814,20.69566217574485,0.7004318237304688,0.29956817626953125,0.5464714169502258,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.06163046881556511,0.10921801030635833
