iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,31,33,0.0519612580537796,13.709937201605904,0.00648272642865777,0.08051537722349167,21.88242345633984,0.6162551641464233,0.38374483585357666,0.7406059503555298,192,0.140625,170.66666666666666,0.006591796875,9437184,55296,fp32,288,0.04976849630475044,0.1165637642145157
2,29,35,0.04976849630475044,13.840484619140625,0.006053165066987276,0.07780209183692932,22.180174815876207,0.6191815137863159,0.3808184862136841,0.7334591746330261,256,0.1875,128.0,0.0087890625,9437184,73728,fp32,288,0.05065283551812172,0.1166859656572342
3,34,30,0.05065283551812172,12.750413682725695,0.0063718948513269424,0.07982414960861206,21.95731401991283,0.6177874803543091,0.3822125196456909,0.7372339963912964,320,0.234375,102.4,0.010986328125,9437184,92160,fp32,288,0.054321300238370895,0.11989954411983492
4,41,23,0.054321300238370895,12.056732177734375,0.007238299585878849,0.08507819473743439,21.40363445666533,0.6176049113273621,0.38239508867263794,0.7452106475830078,384,0.28125,85.33333333333333,0.01318359375,9437184,110592,fp32,288,0.058414775878190994,0.12321083843708039
5,41,23,0.058414775878190994,12.097591824001736,0.007496292237192392,0.08658113330602646,21.251534933077817,0.615851879119873,0.38414812088012695,0.7382808327674866,448,0.328125,73.14285714285714,0.015380859375,9437184,129024,fp32,288,0.05904576554894447,0.12406623661518099
6,38,26,0.05904576554894447,11.33668687608507,0.007170757278800011,0.08468032628297806,21.444349462961426,0.615432858467102,0.38456714153289795,0.74747234582901,512,0.375,64.0,0.017578125,9437184,147456,fp32,288,0.05792143568396568,0.12325057685375215
7,36,28,0.05792143568396568,11.970604790581596,0.007181202527135611,0.0847419798374176,21.438029663358865,0.6157737374305725,0.3842262625694275,0.7473591566085815,576,0.421875,56.888888888888886,0.019775390625,9437184,165888,fp32,288,0.057826586067676544,0.12310652136802674
8,40,24,0.057826586067676544,12.860192192925346,0.007206045091152191,0.08488842844963074,21.42302966956603,0.6144761443138123,0.38552385568618774,0.7389793395996094,640,0.46875,51.2,0.02197265625,9437184,184320,fp32,288,0.05629846081137657,0.12214353978633882
9,34,30,0.05629846081137657,10.43455335828993,0.006260288413614035,0.07912198454141617,22.03405590813069,0.6151477694511414,0.38485223054885864,0.7425674200057983,704,0.515625,46.54545454545455,0.024169921875,9437184,202752,fp32,288,0.05254543200135231,0.11900679171085358
10,37,27,0.05254543200135231,9.883032904730904,0.006394883617758751,0.07996801286935806,21.941673241942247,0.6165488362312317,0.3834511637687683,0.7415124177932739,768,0.5625,42.666666666666664,0.0263671875,9437184,221184,fp32,288,0.05337442457675934,0.11938977241516113
11,38,26,0.05337442457675934,11.70840793185764,0.007511438801884651,0.08666855841875076,21.242768311775727,0.6160067915916443,0.3839932084083557,0.7459610104560852,832,0.609375,39.38461538461539,0.028564453125,9437184,239616,fp32,288,0.0557558536529541,0.12140332460403444
12,32,32,0.0557558536529541,12.249586317274305,0.006156875751912594,0.07846575975418091,22.10639662918411,0.6171608567237854,0.3828391432762146,0.7368379831314087,896,0.65625,36.57142857142857,0.03076171875,9437184,258048,fp32,288,0.05036133900284767,0.11685689985752107
13,34,30,0.05036133900284767,11.626434326171875,0.0076784840784966946,0.08762695640325546,21.147245147114862,0.6159607768058777,0.3840392231941223,0.7374868392944336,960,0.703125,34.13333333333333,0.032958984375,9437184,276480,fp32,288,0.05291733518242836,0.11914171278476715
14,29,35,0.05291733518242836,10.11445787217882,0.006782847456634045,0.08235804736614227,21.685878278011067,0.6140099167823792,0.38599008321762085,0.7327104806900024,1024,0.75,32.0,0.03515625,9437184,294912,fp32,288,0.05443337932229042,0.1207447201013565
