iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,61,67,0.04339045286178589,14.999898274739584,0.007602530065923929,0.08719249069690704,21.190418714426897,0.5234059691429138,0.4765940308570862,-1.0,384,1.6875,14.222222222222221,0.01318359375,1572864,110592,fp32,288,0.05379090830683708,0.13835153281688692
2,38,90,0.05379090830683708,10.915120442708334,0.005678137764334679,0.07535342127084732,22.457941074820063,0.5241538882255554,0.4758461117744446,-1.0,512,2.25,10.666666666666666,0.017578125,1572864,147456,fp32,288,0.05102737620472908,0.1359911233186722
3,41,87,0.05102737620472908,11.310831705729166,0.005933843087404966,0.0770314410328865,22.266639342587617,0.530028760433197,0.469971239566803,-1.0,640,2.8125,8.533333333333333,0.02197265625,1572864,184320,fp32,288,0.05296306684613228,0.1363647013902664
4,33,95,0.05296306684613228,10.175577799479166,0.006794674787670374,0.08242981880903244,21.678313309865192,0.5344245433807373,0.4655754566192627,-1.0,768,3.375,7.111111111111111,0.0263671875,1572864,221184,fp32,288,0.05850815773010254,0.13992161750793458
5,25,103,0.05850815773010254,8.29925537109375,0.005539947655051947,0.07443082332611084,22.564943750718705,0.5370588302612305,0.46294116973876953,-1.0,896,3.9375,6.095238095238095,0.03076171875,1572864,258048,fp32,288,0.053633395582437515,0.1354949504137039
6,30,98,0.053633395582437515,8.345540364583334,0.005131564103066921,0.0716349333524704,22.897502687093304,0.5402925610542297,0.45970743894577026,-1.0,1024,4.5,5.333333333333333,0.03515625,1572864,294912,fp32,288,0.051347989588975906,0.13301987946033478
7,33,95,0.051347989588975906,8.262125651041666,0.005282804369926453,0.07268290221691132,22.771355104871304,0.5419493913650513,0.45805060863494873,-1.0,1152,5.0625,4.7407407407407405,0.03955078125,1572864,331776,fp32,288,0.052360255271196365,0.13349832594394684
8,33,95,0.052360255271196365,9.36126708984375,0.005078396759927273,0.07126287370920181,22.942733801784897,0.539987325668335,0.46001267433166504,-1.0,1280,5.625,4.266666666666667,0.0439453125,1572864,368640,fp32,288,0.05127251148223877,0.13302054405212405
9,36,92,0.05127251148223877,9.063720703125,0.005232188384979963,0.07233386486768723,22.813166302605342,0.5384908318519592,0.46150916814804077,-1.0,1408,6.1875,3.878787878787879,0.04833984375,1572864,405504,fp32,288,0.05182259902358055,0.1337599128484726
10,33,95,0.05182259902358055,9.36126708984375,0.0057743508368730545,0.07598914951086044,22.384968454509995,0.5356660485267639,0.4643339514732361,-1.0,1536,6.75,3.5555555555555554,0.052734375,1572864,442368,fp32,288,0.05437556281685829,0.13636724054813387
11,35,93,0.05437556281685829,8.25958251953125,0.005722261965274811,0.07564563304185867,22.42432309193591,0.5376812815666199,0.4623187184333801,-1.0,1664,7.3125,3.282051282051282,0.05712890625,1572864,479232,fp32,288,0.05414041876792908,0.1357760787010193
12,34,94,0.05414041876792908,10.119120279947916,0.005610320717096329,0.07490207254886627,22.510123095339733,0.5369691848754883,0.4630308151245117,-1.0,1792,7.875,3.0476190476190474,0.0615234375,1572864,516096,fp32,288,0.05312545970082283,0.13510653078556062
13,44,84,0.05312545970082283,8.897908528645834,0.00499558774754405,0.07067947089672089,23.014134276011124,0.540743350982666,0.459256649017334,-1.0,1920,8.4375,2.8444444444444446,0.06591796875,1572864,552960,fp32,288,0.050491366535425186,0.13224442303180695
14,43,85,0.050491366535425186,9.335835774739584,0.005057245958596468,0.07111431658267975,22.960859422120738,0.5406497120857239,0.4593502879142761,-1.0,2048,9.0,2.6666666666666665,0.0703125,1572864,589824,fp32,288,0.05063991621136665,0.13238199055194855
