iteration,n_pos,n_neg,mean_residual,oracle_clamp_pct,mse,rmse,psnr,ssim,dssim,lpips,n_gaussians,bits_per_pixel,compression_ratio,storage_mb,original_bits,compressed_bits,quantization,bits_per_gaussian,l1,loss
1,7,9,0.16967599093914032,7.42034912109375,0.027492573484778404,0.16580884158611298,15.607846216688452,0.47981294989585876,0.5201870203018188,-1.0,48,0.2109375,113.77777777777777,0.00164794921875,1572864,13824,fp32,288,0.12906450033187866,0.20728900432586672
2,6,10,0.12906450033187866,14.66827392578125,0.0194870438426733,0.13959600031375885,17.102540388317998,0.49259892106056213,0.5074011087417603,-1.0,64,0.28125,85.33333333333333,0.002197265625,1572864,18432,fp32,288,0.10040590167045593,0.1818049430847168
3,6,10,0.10040590167045593,10.013326009114584,0.019269093871116638,0.13881316781044006,17.151387175162068,0.48523426055908203,0.514765739440918,-1.0,80,0.3515625,68.26666666666667,0.00274658203125,1572864,23040,fp32,288,0.09951921552419662,0.1825685203075409
4,6,10,0.09951921552419662,6.768290201822917,0.020056935027241707,0.14162251353263855,16.97735397562139,0.48362860083580017,0.5163713693618774,-1.0,96,0.421875,56.888888888888886,0.0032958984375,1572864,27648,fp32,288,0.1024000272154808,0.18519429564476014
5,6,10,0.1024000272154808,6.0089111328125,0.020404746755957603,0.14284518361091614,16.902687638806647,0.48170948028564453,0.5182905197143555,-1.0,112,0.4921875,48.76190476190476,0.00384521484375,1572864,32256,fp32,288,0.10455495119094849,0.1873020648956299
6,5,11,0.10455495119094849,10.54534912109375,0.02065870724618435,0.14373137056827545,16.848968622191816,0.48671093583106995,0.5132890939712524,-1.0,128,0.5625,42.666666666666664,0.00439453125,1572864,36864,fp32,288,0.10828281193971634,0.18928406834602357
7,5,11,0.10828281193971634,9.167989095052084,0.024292347952723503,0.1558600217103958,16.14530532994485,0.4904724061489105,0.5095275640487671,-1.0,144,0.6328125,37.925925925925924,0.00494384765625,1572864,41472,fp32,288,0.11688832193613052,0.19541617035865783
8,4,12,0.11688832193613052,8.171590169270834,0.022575294598937035,0.15025077760219574,16.46366592663928,0.49116137623786926,0.5088386535644531,-1.0,160,0.703125,34.13333333333333,0.0054931640625,1572864,46080,fp32,288,0.11420433968305588,0.19313120245933535
9,4,12,0.11420433968305588,10.174560546875,0.020478902384638786,0.14310450851917267,16.886933453785073,0.4905627965927124,0.5094372034072876,-1.0,176,0.7734375,31.03030303030303,0.00604248046875,1572864,50688,fp32,288,0.10510134696960449,0.1859685182571411
10,5,11,0.10510134696960449,8.67462158203125,0.02200947515666485,0.1483559012413025,16.57390310867171,0.49082764983177185,0.5091723203659058,-1.0,192,0.84375,28.444444444444443,0.006591796875,1572864,55296,fp32,288,0.11005852371454239,0.18988128304481505
11,5,11,0.11005852371454239,10.326639811197916,0.0196757260710001,0.1402701884508133,17.06069211617864,0.5032399296760559,0.4967600703239441,-1.0,208,0.9140625,26.256410256410255,0.00714111328125,1572864,59904,fp32,288,0.09992121905088425,0.17928898930549625
12,7,9,0.09992121905088425,7.78350830078125,0.018876126036047935,0.13739041984081268,17.240871360771507,0.505034863948822,0.494965136051178,-1.0,224,0.984375,24.38095238095238,0.0076904296875,1572864,64512,fp32,288,0.09695179015398026,0.17655445933341982
13,7,9,0.09695179015398026,8.185831705729166,0.01922748237848282,0.13866320252418518,17.160775690009825,0.49391770362854004,0.50608229637146,-1.0,240,1.0546875,22.755555555555556,0.00823974609375,1572864,69120,fp32,288,0.09741669148206711,0.1791498124599457
14,7,9,0.09741669148206711,9.288533528645834,0.018030038103461266,0.13427597284317017,17.440033617650556,0.5048727989196777,0.49512720108032227,-1.0,256,1.125,21.333333333333332,0.0087890625,1572864,73728,fp32,288,0.09598430246114731,0.1758128821849823
