tile_idx,y0,x0,y1,x1,k_budget,n_gaussians,iters_run,init_psnr,final_psnr,tile_h,tile_w
0,0,0,64,64,16,16,7,22.617874922898956,21.191256958823704,64,64
1,0,64,64,128,16,16,7,18.063142928266032,21.157274742339673,64,64
2,0,128,64,192,16,16,7,22.450070598984787,20.727989044861943,64,64
3,0,192,64,256,16,16,7,18.12882881791261,21.247115739320954,64,64
4,64,0,128,64,16,16,7,18.851267772093877,17.17574229743641,64,64
5,64,64,128,128,16,16,7,17.03417109527891,17.865226716675608,64,64
6,64,128,128,192,16,16,7,13.806499108970943,14.211376991443101,64,64
7,64,192,128,256,16,16,7,25.220695085450235,25.990663798908187,64,64
8,128,0,192,64,16,16,7,18.038604196757987,17.403976000525986,64,64
9,128,64,192,128,16,16,7,14.006855840019945,14.324992336700886,64,64
10,128,128,192,192,16,16,7,20.169173917728067,18.242268607448274,64,64
11,128,192,192,256,16,16,7,21.707396020465893,21.89241124103466,64,64
12,192,0,256,64,16,16,7,20.932908636355055,21.99197900536418,64,64
13,192,64,256,128,16,16,7,19.252843480976516,19.42209718530511,64,64
14,192,128,256,192,16,16,7,23.377370419003626,23.117387931191523,64,64
15,192,192,256,256,16,16,7,23.347101608630222,23.555982082155968,64,64
